Source,website,page_url,TRUE,FALSE
conservativeactionalerts.com,thomas.loc.gov,2,0,2
www.charismanews.com,www.snopes.com,2,0,2
www.foxnews.com,www.foxnews.com,2,0,2
www.fbo.gov,www.fbo.gov,1,0,1
www.fbo.gov,www.govexec.com,1,0,1
www.fbo.gov,www.defense.gov,1,0,1
www.fbo.gov,www.dodbuzz.com,1,0,1
www.fbo.gov,www.wired.com,1,0,1
www.facebook.com,www.hcfama.org,1,0,1
www.fbo.gov,www.jointbasemdl.af.mil,1,0,1
www.fireandreamitchell.com,research.ku.edu,1,0,1
www.fireandreamitchell.com,polititainment.net,1,0,1
www.facebook.com,www.eia.gov,1,0,1
www.youtube.com,votevets.org,1,0,1
www.youtube.com,thelastword.msnbc.msn.com,1,1,0
www.facebook.com,www.fairvote.org,1,0,1
www.facebook.com,www.fao.org,1,0,1
www.fireandreamitchell.com,ncgg.princeton.edu,1,0,1
www.facebook.com,www.floridanewsgrio.com,1,0,1
www.fireandreamitchell.com,issuu.com,1,0,1
www.youtube.com,88.80.13.160.nyud.net,1,0,1
www.fireandreamitchell.com,content.time.com,1,0,1
www.facebook.com,www.foreignassistance.gov,1,0,1
www.facebook.com,www.foxnews.com,1,0,1
www.facebook.com,www.icrc.org,1,1,0
www.facebook.com,www.ft.com,1,0,1
www.fbo.gov,www.stripes.com,1,0,1
www.facebook.com,www.genealogybank.com,1,0,1
www.fbo.gov,www.nytimes.com,1,0,1
www.fbo.gov,www.nationalreview.com,1,0,1
www.fbo.gov,www.nafjobs.org,1,0,1
www.facebook.com,www.gpo.gov,1,0,1
www.facebook.com,www.gq.com,1,0,1
www.youtube.com,cfns.us,1,0,1
www.facebook.com,www.stateofworkingamerica.org,1,0,1
www.fbo.gov,www.afclubs.net,1,0,1
www.youtube.com,switchboard.nrdc.org,1,0,1
www.facebook.com,www.philadelphiaweekly.com,1,0,1
www.facebook.com,www.vanityfair.com,1,0,1
www.youtube.com,online.wsj.com,1,0,1
www.facebook.com,www.usnews.com,1,0,1
www.facebook.com,www.usatoday.com,1,0,1
www.facebook.com,www.presidency.ucsb.edu,1,1,0
www.facebook.com,www.usaid.gov,1,0,1
www.facebook.com,www.urbn.com,1,0,1
www.facebook.com,www.ratical.org,1,0,1
www.facebook.com,www.remappingdebate.org,1,1,0
www.youtube.com,my.democrats.org,1,0,1
www.facebook.com,www.rubio.senate.gov,1,0,1
www.facebook.com,www.urban.org,1,0,1
www.facebook.com,www.upworthy.com,1,0,1
www.facebook.com,www.salon.com,1,0,1
www.facebook.com,www.seiu.org,1,0,1
www.facebook.com,www.un-kampagne.de,1,0,1
www.youtube.com,historytextbooks.net,1,0,1
www.youtube.com,hawaii.gov,1,0,1
www.facebook.com,www.thedailybeast.com,1,0,1
www.facebook.com,www.statbank.dk,1,1,0
www.facebook.com,www.taxpolicycenter.org,1,0,1
