Source,website,Monday,Elections,Military,Thursday,Religion,Friday,Saturday,TRUE,History,Tuesday,Wednesday,Sunday,page_url,Health Care,FALSE
www.fireandreamitchell.com,www.state.gov,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
clatl.com,www.youtube.com,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
www.beliefnet.com,www.politifact.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.snopes.com,docs.google.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.youngcons.com,www.youngcons.com,0,0,0,0,0,1,0,1,0,0,1,0,2,0,1
www.youtube.com,www.pewhispanic.org,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
sovereigncitizens.org,www.politifact.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
www.vanityfair.com,espnmediazone.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
politicono.com,politicono.com,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
www.senate.gov,www.senate.gov,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2
www.rushlimbaugh.com,pajamasmedia.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
politicot.com,www.politifact.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.globalresearch.ca,www.infowars.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
politicot.com,www.cnn.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
conservativetribune.com,conservativetribune.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.documentcloud.org,www.miamiherald.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.documentcloud.org,www.politifact.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.globalresearch.ca,www.politifact.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
peacemoonbeam.typepad.com,answers.yahoo.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
sovereigncitizens.org,cpc.grijalva.house.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
cannasos.com,www.nbcnews.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
uspoln.com,politicops.com,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2
www.breitbart.com,www.snopes.com,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2
smag31.com,www.ncbi.nlm.nih.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
usapoliticszone.com,www.politifact.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.westernjournalism.com,fl.cair.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.aclu.org,www.wired.com,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
www.examiner.com,www.scstatehouse.gov,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.westernjournalism.com,www.westernjournalism.com,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2
www.washingtonpost.com,www.washingtonpost.com,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
usasnich.com,usasnich.com,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2
www.tdtalliance.com,www.tdtalliance.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
www.ibdeditorials.com,www.washingtonpost.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.politifact.com,www.slcelections.com,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2
realtimepolitics.com,www.snopes.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.facebook.com,www.unodc.org,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
www.fireandreamitchell.com,www.fas.org,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.theverge.com,twitter.com,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
www.politifact.com,www.thewallstreetshuffle.com,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2
dailycaller.com,www.fda.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
www.beliefnet.com,www.forbes.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
www.census.gov,www.census.gov,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2
shark-tank.net,shark-tank.net,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
www.fireandreamitchell.com,www.foxnews.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.washingtonpost.com,docs.google.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
conservativeactionalerts.com,thomas.loc.gov,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
www.charismanews.com,www.snopes.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
www.foxnews.com,www.foxnews.com,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2
www.fbo.gov,www.fbo.gov,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.govexec.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.defense.gov,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.dodbuzz.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.wired.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.facebook.com,www.hcfama.org,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.jointbasemdl.af.mil,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.fireandreamitchell.com,research.ku.edu,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.fireandreamitchell.com,polititainment.net,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.eia.gov,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
www.youtube.com,votevets.org,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
www.youtube.com,thelastword.msnbc.msn.com,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
www.facebook.com,www.fairvote.org,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.fao.org,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.fireandreamitchell.com,ncgg.princeton.edu,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.floridanewsgrio.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.fireandreamitchell.com,issuu.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.youtube.com,88.80.13.160.nyud.net,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.fireandreamitchell.com,content.time.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.foreignassistance.gov,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.foxnews.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.facebook.com,www.icrc.org,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
www.facebook.com,www.ft.com,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.stripes.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.facebook.com,www.genealogybank.com,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.fbo.gov,www.nytimes.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.nationalreview.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.nafjobs.org,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.facebook.com,www.gpo.gov,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.facebook.com,www.gq.com,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.youtube.com,cfns.us,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.facebook.com,www.stateofworkingamerica.org,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
www.fbo.gov,www.afclubs.net,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.youtube.com,switchboard.nrdc.org,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
www.facebook.com,www.philadelphiaweekly.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.vanityfair.com,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
www.youtube.com,online.wsj.com,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
www.facebook.com,www.usnews.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.facebook.com,www.usatoday.com,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.facebook.com,www.presidency.ucsb.edu,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
www.facebook.com,www.usaid.gov,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.urbn.com,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.ratical.org,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.facebook.com,www.remappingdebate.org,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
www.youtube.com,my.democrats.org,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
www.facebook.com,www.rubio.senate.gov,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.urban.org,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.upworthy.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
www.facebook.com,www.salon.com,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
www.facebook.com,www.seiu.org,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
www.facebook.com,www.un-kampagne.de,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.youtube.com,historytextbooks.net,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.youtube.com,hawaii.gov,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
www.facebook.com,www.thedailybeast.com,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
