Source,Destination,Monday,Elections,Military,Thursday,Religion,Friday,Saturday,TRUE,History,Tuesday,Wednesday,Sunday,page_url,Health Care,FALSE,jaccard_coeff_connection,Neighbor_connection,jaccard_coeff_common_destination,Neighbor_common_destination,jaccard_coeff_common_source,Neighbor_common_source,SourceSite_outdeg_real,DestSite_outdeg_real,SourceSite_outdeg_fake,DestSite_outdeg_fake,SourceSite_indeg_fake,DestSite_indeg_fake,DestSite_indeg_real,SourceSite_indeg_real,mutuality_ind,MedianPolarityScore,Label
www.jewsnews.co.il,www.paaia.org,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,2,0,0.0,0.0,-0.4019,0
www.facebook.com,pewhispanic.org,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,2,0,1.0,0.0,0.0,0
floridanewsflash.com,www.americanbanker.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,30,0.0,0.0,2,0,0.0,0.0,-0.2263,0
www.facebook.com,www.pewhispanic.org,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0.006535947712418301,1,0.0,0,0.0,0,30,0.0,225,0.0,10.0,4,0,1.0,0.0,0.0,0
donaldtrumppotus45.com,www.latimes.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.038461538461538464,1,0.045454545454545456,1,0.0,0,0,0.0,8,16.0,0.0,5,1,0.0,0.0,0.4753,0
www.infowars.com,www.nytimes.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.030303030303030307,1,0.0,0,0.0,0,0,0.0,21,0.0,3.0,24,3,0.0,0.0,-0.6808,0
www.youngcons.com,democrats.benghazi.house.gov,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,11,0.0,9,0.0,0.0,2,0,0.0,0.0,-0.4767,0
usanewstoday.org,www.politifact.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,8,35.0,0.0,75,7,0.0,0.0,0.8591,0
www.ilga.gov,www.cbn.com,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,17,0.0,0.0,2,0,0.0,0.0,0.4215,0
data.bls.gov,www.census.gov,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0.1,1,0.0,0,0.3333333333333333,1,0,0.0,5,3.0,2.0,6,0,0.0,0.0,0.0,0
www.ilga.gov,www.factcheck.org,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,17,0.0,0.0,8,1,0.0,0.0,0.4215,0
departedmedia.com,thehill.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,13,0,0.0,0.0,0.7717,0
www.politifact.com,sovereigncitizens.org,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0.02666666666666667,2,0.04878048780487805,2,0.0,0,0,0.0,35,18.0,75.0,3,0,7.0,1.0,0.0,0
