"","Source","website","page_url","TRUE.","FALSE."
"187","www.beliefnet.com","www.politifact.com",2,0,2
"188","www.snopes.com","docs.google.com",2,0,2
"189","www.youngcons.com","www.youngcons.com",2,1,1
"190","www.youtube.com","www.pewhispanic.org",2,0,2
"191","sovereigncitizens.org","www.politifact.com",2,0,2
"192","www.vanityfair.com","espnmediazone.com",2,0,2
"193","politicono.com","politicono.com",2,0,2
"194","www.senate.gov","www.senate.gov",2,0,2
"195","www.rushlimbaugh.com","pajamasmedia.com",2,0,2
"196","politicot.com","www.politifact.com",2,0,2
"197","www.globalresearch.ca","www.infowars.com",2,0,2
"198","politicot.com","www.cnn.com",2,0,2
"199","conservativetribune.com","conservativetribune.com",2,0,2
"200","www.documentcloud.org","www.miamiherald.com",2,0,2
"201","www.documentcloud.org","www.politifact.com",2,0,2
"202","www.globalresearch.ca","www.politifact.com",2,0,2
"203","peacemoonbeam.typepad.com","answers.yahoo.com",2,0,2
"204","sovereigncitizens.org","cpc.grijalva.house.gov",2,0,2
"205","cannasos.com","www.nbcnews.com",2,0,2
"206","uspoln.com","politicops.com",2,0,2
"207","www.breitbart.com","www.snopes.com",2,0,2
"208","smag31.com","www.ncbi.nlm.nih.gov",2,0,2
"209","usapoliticszone.com","www.politifact.com",2,0,2
"210","www.westernjournalism.com","fl.cair.com",2,0,2
"211","www.aclu.org","www.wired.com",2,0,2
"212","www.examiner.com","www.scstatehouse.gov",2,0,2
"213","www.westernjournalism.com","www.westernjournalism.com",2,0,2
"214","www.washingtonpost.com","www.washingtonpost.com",2,0,2
"215","usasnich.com","usasnich.com",2,0,2
"216","www.tdtalliance.com","www.tdtalliance.com",2,0,2
"217","www.ibdeditorials.com","www.washingtonpost.com",2,0,2
"218","www.politifact.com","www.slcelections.com",2,0,2
"219","realtimepolitics.com","www.snopes.com",2,0,2
"220","www.facebook.com","www.unodc.org",2,0,2
"221","www.fireandreamitchell.com","www.fas.org",2,0,2
"222","www.theverge.com","twitter.com",2,0,2
"223","www.politifact.com","www.thewallstreetshuffle.com",2,0,2
"224","dailycaller.com","www.fda.gov",2,0,2
"225","www.beliefnet.com","www.forbes.com",2,0,2
"226","www.census.gov","www.census.gov",2,0,2
"227","shark-tank.net","shark-tank.net",2,0,2
"228","www.fireandreamitchell.com","www.foxnews.com",2,0,2
"229","www.washingtonpost.com","docs.google.com",2,0,2
"230","conservativeactionalerts.com","thomas.loc.gov",2,0,2
"231","www.charismanews.com","www.snopes.com",2,0,2
"232","www.foxnews.com","www.foxnews.com",2,0,2
"233","www.fbo.gov","www.fbo.gov",1,0,1
"234","www.fbo.gov","www.govexec.com",1,0,1
"235","www.fbo.gov","www.defense.gov",1,0,1
"236","www.fbo.gov","www.dodbuzz.com",1,0,1
"237","www.fbo.gov","www.wired.com",1,0,1
"238","www.facebook.com","www.hcfama.org",1,0,1
"239","www.fbo.gov","www.jointbasemdl.af.mil",1,0,1
"240","www.fireandreamitchell.com","research.ku.edu",1,0,1
"241","www.fireandreamitchell.com","polititainment.net",1,0,1
"242","www.facebook.com","www.eia.gov",1,0,1
"243","www.youtube.com","votevets.org",1,0,1
"244","www.youtube.com","thelastword.msnbc.msn.com",1,1,0
"245","www.facebook.com","www.fairvote.org",1,0,1
"246","www.facebook.com","www.fao.org",1,0,1
"247","www.fireandreamitchell.com","ncgg.princeton.edu",1,0,1
"248","www.facebook.com","www.floridanewsgrio.com",1,0,1
"249","www.fireandreamitchell.com","issuu.com",1,0,1
"250","www.youtube.com","88.80.13.160.nyud.net",1,0,1
"251","www.fireandreamitchell.com","content.time.com",1,0,1
"252","www.facebook.com","www.foreignassistance.gov",1,0,1
"253","www.facebook.com","www.foxnews.com",1,0,1
"254","www.facebook.com","www.icrc.org",1,1,0
"255","www.facebook.com","www.ft.com",1,0,1
"256","www.fbo.gov","www.stripes.com",1,0,1
"257","www.facebook.com","www.genealogybank.com",1,0,1
"258","www.fbo.gov","www.nytimes.com",1,0,1
"259","www.fbo.gov","www.nationalreview.com",1,0,1
"260","www.fbo.gov","www.nafjobs.org",1,0,1
"261","www.facebook.com","www.gpo.gov",1,0,1
"262","www.facebook.com","www.gq.com",1,0,1
"263","www.youtube.com","cfns.us",1,0,1
"264","www.facebook.com","www.stateofworkingamerica.org",1,0,1
"265","www.fbo.gov","www.afclubs.net",1,0,1
"266","www.youtube.com","switchboard.nrdc.org",1,0,1
"267","www.facebook.com","www.philadelphiaweekly.com",1,0,1
"268","www.facebook.com","www.vanityfair.com",1,0,1
"269","www.youtube.com","online.wsj.com",1,0,1
"270","www.facebook.com","www.usnews.com",1,0,1
"271","www.facebook.com","www.usatoday.com",1,0,1
"272","www.facebook.com","www.presidency.ucsb.edu",1,1,0
"273","www.facebook.com","www.usaid.gov",1,0,1
"274","www.facebook.com","www.urbn.com",1,0,1
"275","www.facebook.com","www.ratical.org",1,0,1
"276","www.facebook.com","www.remappingdebate.org",1,1,0
"277","www.youtube.com","my.democrats.org",1,0,1
"278","www.facebook.com","www.rubio.senate.gov",1,0,1
"279","www.facebook.com","www.urban.org",1,0,1
"280","www.facebook.com","www.upworthy.com",1,0,1
"281","www.facebook.com","www.salon.com",1,0,1
"282","www.facebook.com","www.seiu.org",1,0,1
"283","www.facebook.com","www.un-kampagne.de",1,0,1
"284","www.youtube.com","historytextbooks.net",1,0,1
"285","www.youtube.com","hawaii.gov",1,0,1
"286","www.facebook.com","www.thedailybeast.com",1,0,1
"287","www.facebook.com","www.statbank.dk",1,1,0
"288","www.facebook.com","www.taxpolicycenter.org",1,0,1
"289","www.facebook.com","www.state.gov",1,1,0
"290","www.facebook.com","www.wfp.org",1,0,1
"291","www.facebook.com","www.wired.com",1,1,0
"292","www.youtube.com","pol.moveon.org",1,0,1
"293","www.fbo.gov","articles.cnn.com",1,0,1
"294","www.facebook.com","www.jsonline.com",1,0,1
"295","www.fbo.gov","www.af.mil",1,0,1
"296","www.facebook.com","www.jstor.org",1,0,1
"297","www.facebook.com","www.kff.org",1,0,1
"298","www.facebook.com","www.loc.gov",1,0,1
"299","www.facebook.com","www.mahealthconnector.org",1,0,1
"300","www.fbo.gov","washingtonexaminer.com",1,0,1
"301","www.fbo.gov","static.e-publishing.af.mil",1,0,1
"302","www.facebook.com","www.malegislature.gov",1,0,1
"303","www.facebook.com","www.mcclatchydc.com",1,0,1
"304","www.facebook.com","www.mcdonalds.dk",1,1,0
"305","www.facebook.com","www.opcw.org",1,1,0
"306","www.facebook.com","www4.uwm.edu",1,0,1
"307","www.facebook.com","www.msnbc.msn.com",1,0,1
"308","www.facebook.com","www.zillow.com",1,0,1
"309","www.facebook.com","www.nacdl.org",1,0,1
"310","www.youtube.com","downtrend.com",1,0,1
"311","www.facebook.com","www.nachc.com",1,0,1
"312","www.facebook.com","www.nationsonline.org",1,0,1
"313","www.youtube.com","presente.org",1,0,1
"314","www.youtube.com","education-curriculum-reform-government-schools.org",1,0,1
"315","www.facebook.com","www.worldbeyondwar.org",1,0,1
"316","www.facebook.com","www.massresources.org",1,0,1
"317","www.facebook.com","www.americanprogress.org",1,0,1
"318","www.facebook.com","www.dlapiper.com",1,0,1
"319","www.examiner.com","oathkeepers.org",1,0,1
"320","www.examiner.com","minutemennews.com",1,0,1
"321","www.examiner.com","mchb.hrsa.gov",1,0,1
"322","www.examiner.com","homvee.acf.hhs.gov",1,0,1
"323","www.examiner.com","frwebgate.access.gpo.gov",1,0,1
"324","www.examiner.com","freedomoutpost.com",1,0,1
