"","wd","get(i)","get(i)","get(i)"
"pol.moveon.org",7,0.00168476747424116,0.0298023632751229,7
"pbs.twimg.com",7,0,0.0291232372777437,7
"to-day-news-24.com",4,0,0.0301800211789622,4
"theseattletribune.com",14,0,0.029556139380531,14
"theuspatriot.com",2,0,0.0296391305855028,2
"static.politifact.com.s3.amazonaws.com",5,0.000575208513085994,0.0300537804492249,5
"thatviralfeed.net",1,0,0.00116959064327485,1
"success-street.com",7,8.21726447265705e-06,0.0295868226174822,7
"www.whitehouse.gov",9,0,0.0302430051996746,9
"www.cdc.gov",6,0,0.0297629407874125,6
"www.nytimes.com",18,0,0.0305368048858888,18
"apps.who.int",1,0,0.0296607229584403,1
"www.dot.gov",1,0,0.0292808219178082,1
"www.cbo.gov",5,0,0.0301406563965171,5
"www.catholicleague.org",1,0,0.0290233884381683,1
"www.amazon.com",1,0,0.0300453315528692,1
"www.reuters.com",6,0,0.0301874801398157,6
"oversight.house.gov",1,0,0.0294878427315054,1
"www.cnn.com",13,0,0.030248354914031,13
"www.ips-dc.org",1,0,0.0300453315528692,1
"www.rubio.senate.gov",4,0,0.0300897413338026,4
"www.forbes.com",6,0,0.030188546006638,6
"www.alsa.org",1,0,0.028845180661921,1
"www.fns.usda.gov",1,0,0.0300453315528692,1
"www.factcheck.org",5,0,0.0302002755112854,5
"drive.google.com",4,0,0.029936974789916,4
"www.congress.gov",2,0,0.0300611771324098,2
"www.cnbc.com",3,0,0.0293996286362699,3
"www.cbsnews.com",8,0,0.0303417438518045,8
"georgewbush-whitehouse.archives.gov",1,0,0.0292257733720732,1
"www.uticaod.com",1,0,0.00117232972767672,1
"www.politico.com",14,0,0.0303202241214227,14
"www.afpc.af.mil",1,0,0.0289232434626704,1
"fas.org",3,0,0.02960013848018,3
"www.blm.gov",1,0,0.0290895481763745,1
"www.opensecrets.org",3,0,0.0300770394343406,3
"www.cis.org",1,0,0.0300453315528692,1
"www.usaid.gov",3,0,0.0301310967014378,3
"www.wftv.com",1,0,0.0297422339722406,1
"kerry.senate.gov",1,0,0.0297422339722406,1
"www.sanders.senate.gov",1,0,0.0294380939264564,1
"gawker.com",3,0,0.0300675200450134,3
"epi.3cdn.net",1,0,0.0287182587666264,1
"www.presidency.ucsb.edu",2,0,0.0293390982087708,2
"media.jsonline.com",1,0,0.0286039276036265,1
"legis.wisconsin.gov",1,0,0.0286039276036265,1
"timesofindia.indiatimes.com",1,0,0.028315008610412,1
"talkingpointsmemo.com",2,0,0.0291510398908967,2
"news.bbc.co.uk",2,0,0.0301353447060482,2
"dailysignal.com",1,0,0.0294878427315054,1
"nymag.com",2,0,0.030060120240481,2
"online.wsj.com",4,0,0.0301512853969038,4
"www.paaia.org",1,0,0.0282616600006611,1
"pewhispanic.org",1,0,0.0300453315528692,1
"www.americanbanker.com",1,0,0.0294878427315054,1
"www.pewhispanic.org",2,0,0.0301374691575608,2
